PassengerId,age,salary,department,years_at_company,performance_score,promoted
1001,39,80990.33154879004,Marketing,11,8.864874599689166,1
1002,33,73869.50524369153,Marketing,0,1.116165051828928,0
1003,41,60894.45554880261,Marketing,3,3.040215868674313,0
1004,50,50295.94833441639,Sales,10,6.102035166245824,0
1005,32,70473.34970420385,Finance,5,,0
1006,32,65902.28078132625,Finance,9,6.4933974578649485,0
1007,50,73427.89830041598,HR,5,1.2169917406780013,0
1008,42,69527.57702522955,Finance,5,2.048130374335413,0
1009,30,75743.29072979002,Finance,2,2.143866161965953,0
1010,40,51971.47182659148,Marketing,3,2.7035528132440847,0
1011,30,79760.91098451489,Marketing,9,5.133982967204885,0
1012,30,62963.994070386,HR,6,7.769158295892141,1
1013,37,91128.91308937898,IT,11,9.14984954136011,1
1014,-999,49662.18272865648,HR,12,8.518352772558215,1
1015,17,86039.45704747873,HR,8,2.771990845981152,0
1016,29,62968.66175193972,Sales,11,4.970354970075691,0
1017,24,50228.72994578327,Sales,4,2.794704379826815,0
1018,38,52741.71248918518,HR,6,3.380246350004717,0
1019,25,55194.7903770852,HR,10,5.531922833606975,0
1020,20,66362.48919602875,HR,5,1.6129812225117028,0
1021,49,67842.5323205325,Finance,8,2.9635689663394587,0
1022,32,51394.49994092131,Sales,2,9.418403451764055,0
1023,35,59634.68111608526,HR,8,5.195046633926401,0
1024,20,92134.05537917795,Marketing,12,5.00847873380085,0
1025,29,85913.14755151067,Marketing,13,1.13110439276151,0
1026,36,66544.85504511048,Finance,10,3.2265977235251118,0
1027,23,60570.05217252301,?,11,8.796631923839632,1
1028,38,61800.46990077392,IT,8,2.481655854328019,0
1029,28,69202.76959095625,IT,8,,0
1030,-999,44658.111522023915,IT,2,1.1289781528030112,0
1031,28,56139.35193864982,Finance,6,5.305019335035002,0
1032,53,34971.238891836154,?,6,1.1891899605359544,0
1033,34,65988.34683907918,Finance,14,8.3764859775922,1
1034,24,69707.93909554112,Marketing,6,,0
1035,43,52752.20306550939,Finance,8,8.08967969472133,1
1036,22,83609.80144935049,Marketing,7,3.550276620020064,0
1037,37,41613.51505496488,IT,9,8.535134963996363,1
1038,15,38034.376796852695,IT,11,5.886983193447424,0
1039,21,63366.77727839958,IT,3,,0
1040,36,75706.47453918232,HR,7,,0
1041,42,85258.91537186803,HR,12,1.111069414543366,0
1042,36,53116.7360569659,Sales,6,2.2866478984067693,0
1043,33,76180.21250146943,Sales,4,7.680641843532365,1
1044,31,59422.372957489395,Sales,9,3.197454478445377,0
1045,20,57410.59050088771,HR,12,6.382082055958747,0
1046,27,73254.89906230009,HR,0,4.465923425407267,0
1047,30,69784.84317620129,Sales,11,8.693252009193353,1
1048,45,36354.117645236256,Sales,12,9.571737753969792,1
1049,38,82148.10524588844,Finance,6,8.952082555331714,1
1050,-999,80701.37031221177,Sales,14,3.43557995224237,0
1051,38,50616.55947735706,Finance,11,2.7474658214147403,0
1052,31,65937.05300156113,Marketing,11,5.269914042586615,0
1053,28,67410.45279424108,HR,11,1.0660073575256224,0
1054,41,,Sales,2,1.2322845357686356,0
1055,45,51745.422692318694,HR,3,5.979615756607001,0
1056,44,49925.64948092923,HR,6,5.684044637487574,0
1057,26,59616.688935128324,HR,3,9.95123790131734,1
1058,-999,77590.93528889047,Marketing,6,2.816576518273823,0
1059,38,68154.00231891648,IT,13,3.3229353624442157,0
1060,44,54440.78501870841,Sales,12,2.0218657809365803,0
1061,30,,IT,9,9.257887086883702,1
1062,33,17271.86069054887,IT,12,8.000301200126057,1
1063,23,77231.48550558156,IT,11,8.401052003111626,1
1064,23,33904.293318328506,HR,6,9.124874091680578,1
1065,43,54563.38587895302,Finance,3,5.7240998805325445,0
1066,48,43204.95158060784,HR,7,5.060738723056513,0
1067,34,40579.77786418641,HR,11,3.9735232629905486,0
1068,45,77412.4018106778,IT,6,6.302931529130699,0
1069,38,52984.48198032163,HR,10,5.088505571108403,0
1070,28,65197.55822596073,IT,1,5.064090279450176,0
1071,38,59296.19131681224,Finance,11,9.43235077358025,1
1072,50,67155.61240834682,?,12,9.856283628512172,1
1073,34,61152.32836590383,IT,10,8.168359503966226,1
1074,50,40755.11663717146,Finance,14,7.810822812222355,1
1075,-999,74944.0022917071,Sales,12,7.125023456011913,1
1076,43,52593.65125258031,?,13,2.4946736710016233,0
1077,35,36651.271520103735,IT,14,1.5319523878808907,0
1078,32,53578.27258551131,IT,12,7.216536836019368,1
1079,35,82511.39685951466,Marketing,10,7.559076000309184,1
1080,15,72753.3261317024,Marketing,0,1.4227569198832581,0
1081,32,54770.21798388211,IT,6,9.352465752059633,1
1082,38,54761.13443522357,Marketing,8,1.8202657550020978,0
1083,49,55175.47423173926,HR,4,3.5731048039408213,0
1084,29,91151.21975341262,Sales,4,7.05150831518834,1
1085,26,65729.0317834733,Sales,14,2.528853349640287,0
1086,29,,Sales,13,1.4987429959801999,0
1087,44,75454.25181047764,HR,12,3.980318402477348,0
1088,38,63581.8373853977,Marketing,6,7.893744173696612,1
